token,chunk_name,chunk_path,chunk_size,offset_decimal,offset_hex,context
BlackSwan,5060c8bc1e02bacbbe300713875cd19c.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5060c8bc1e02bacbbe300713875cd19c.bytes,25587217,2258790,0x227766,_RuanMei_00.....NPC_Avatar_Lad_Aventurine_00.....NPC_Avatar_Male_Dr_Ratio_00.....NPC_Avatar_Girl_Sparkle_00.....NPC_Avatar_Lady_BlackSwan_00.....NPC_Avatar_Lady_Acheron_00.....NPC_Avatar_Maid_Robin_00.....NPC_Avatar_Maid_Firefly_00.....NPC_Avatar_Boy_Misha_00.....NPC_Avatar_Lad_Sunday_10.....NPC_Avatar_Lady_Jade_00.....NPC_Avatar_Male_Boothill_00.....NPC_Avatar_Maid_Rappa_00.....NPC_Avatar_Male_Mr_Reca_00.....NPC_Avatar_Maid_TheHerta_00.....NPC_Avatar_Lady_Aglaea_00.....NPC_Avatar_Kid_Tribbie_00.....NPC_Avatar_Male_
BlackSwan,5060c8bc1e02bacbbe300713875cd19c.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5060c8bc1e02bacbbe300713875cd19c.bytes,25587217,3206336,0x30ECC0,Ani_LookAtPhoneAS.fbxSCharacters/Avatar/Sparkle/Avatar_00/Animation/Avatar_Sparkle_00_Adv_Ani_StandBy.fbx.......NPC_Avatar_Lady_BlackSwan_00.StandByJCharacters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_StandBy.fbx.WCharacters/Avatar/BlackSwan/Avatar_00/Animation/Avatar_BlackSwan_00_Adv_Ani_StandBy.fbx........NPC_Avatar_Lady_BlackSwan_00.WalkGCharacters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_Walk.fbx.TCharacters/Avatar/BlackSwan/Avatar_00/Animation/Avatar_BlackSwan_00_Adv_Ani_Walk.fbx........NP
BlackSwan,5060c8bc1e02bacbbe300713875cd19c.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5060c8bc1e02bacbbe300713875cd19c.bytes,25587217,3206451,0x30ED33,_Avatar_Lady_BlackSwan_00.StandByJCharacters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_StandBy.fbx.WCharacters/Avatar/BlackSwan/Avatar_00/Animation/Avatar_BlackSwan_00_Adv_Ani_StandBy.fbx........NPC_Avatar_Lady_BlackSwan_00.WalkGCharacters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_Walk.fbx.TCharacters/Avatar/BlackSwan/Avatar_00/Animation/Avatar_BlackSwan_00_Adv_Ani_Walk.fbx........NPC_Avatar_Lady_BlackSwan_00.WalkStop_LMCharacters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_WalkStop_L.fbx
BlackSwan,5060c8bc1e02bacbbe300713875cd19c.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5060c8bc1e02bacbbe300713875cd19c.bytes,25587217,3206488,0x30ED58,racters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_StandBy.fbx.WCharacters/Avatar/BlackSwan/Avatar_00/Animation/Avatar_BlackSwan_00_Adv_Ani_StandBy.fbx........NPC_Avatar_Lady_BlackSwan_00.WalkGCharacters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_Walk.fbx.TCharacters/Avatar/BlackSwan/Avatar_00/Animation/Avatar_BlackSwan_00_Adv_Ani_Walk.fbx........NPC_Avatar_Lady_BlackSwan_00.WalkStop_LMCharacters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_WalkStop_L.fbxJCharacters/Avatar/00_Common/Animatio
BlackSwan,5060c8bc1e02bacbbe300713875cd19c.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5060c8bc1e02bacbbe300713875cd19c.bytes,25587217,3206544,0x30ED90,Ani_StandBy.fbx.WCharacters/Avatar/BlackSwan/Avatar_00/Animation/Avatar_BlackSwan_00_Adv_Ani_StandBy.fbx........NPC_Avatar_Lady_BlackSwan_00.WalkGCharacters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_Walk.fbx.TCharacters/Avatar/BlackSwan/Avatar_00/Animation/Avatar_BlackSwan_00_Adv_Ani_Walk.fbx........NPC_Avatar_Lady_BlackSwan_00.WalkStop_LMCharacters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_WalkStop_L.fbxJCharacters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_StandBy.fbxZCharacters/Avatar
BlackSwan,5060c8bc1e02bacbbe300713875cd19c.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5060c8bc1e02bacbbe300713875cd19c.bytes,25587217,3206653,0x30EDFD,...NPC_Avatar_Lady_BlackSwan_00.WalkGCharacters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_Walk.fbx.TCharacters/Avatar/BlackSwan/Avatar_00/Animation/Avatar_BlackSwan_00_Adv_Ani_Walk.fbx........NPC_Avatar_Lady_BlackSwan_00.WalkStop_LMCharacters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_WalkStop_L.fbxJCharacters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_StandBy.fbxZCharacters/Avatar/BlackSwan/Avatar_00/Animation/Avatar_BlackSwan_00_Adv_Ani_WalkStop_L.fbxWCharacters/Avatar/BlackSwan/Avatar_
BlackSwan,5060c8bc1e02bacbbe300713875cd19c.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5060c8bc1e02bacbbe300713875cd19c.bytes,25587217,3206690,0x30EE22,Characters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_Walk.fbx.TCharacters/Avatar/BlackSwan/Avatar_00/Animation/Avatar_BlackSwan_00_Adv_Ani_Walk.fbx........NPC_Avatar_Lady_BlackSwan_00.WalkStop_LMCharacters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_WalkStop_L.fbxJCharacters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_StandBy.fbxZCharacters/Avatar/BlackSwan/Avatar_00/Animation/Avatar_BlackSwan_00_Adv_Ani_WalkStop_L.fbxWCharacters/Avatar/BlackSwan/Avatar_00/Animation/Avatar_BlackSwan_00_Adv_
BlackSwan,5060c8bc1e02bacbbe300713875cd19c.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5060c8bc1e02bacbbe300713875cd19c.bytes,25587217,3206743,0x30EE57,y_Adv_Ani_Walk.fbx.TCharacters/Avatar/BlackSwan/Avatar_00/Animation/Avatar_BlackSwan_00_Adv_Ani_Walk.fbx........NPC_Avatar_Lady_BlackSwan_00.WalkStop_LMCharacters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_WalkStop_L.fbxJCharacters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_StandBy.fbxZCharacters/Avatar/BlackSwan/Avatar_00/Animation/Avatar_BlackSwan_00_Adv_Ani_WalkStop_L.fbxWCharacters/Avatar/BlackSwan/Avatar_00/Animation/Avatar_BlackSwan_00_Adv_Ani_StandBy.fbx.......NPC_Avatar_Lady_BlackSwan_00.Wa
BlackSwan,5060c8bc1e02bacbbe300713875cd19c.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5060c8bc1e02bacbbe300713875cd19c.bytes,25587217,3206938,0x30EF1A,Avatar_Lady_Adv_Ani_WalkStop_L.fbxJCharacters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_StandBy.fbxZCharacters/Avatar/BlackSwan/Avatar_00/Animation/Avatar_BlackSwan_00_Adv_Ani_WalkStop_L.fbxWCharacters/Avatar/BlackSwan/Avatar_00/Animation/Avatar_BlackSwan_00_Adv_Ani_StandBy.fbx.......NPC_Avatar_Lady_BlackSwan_00.WalkStop_RMCharacters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_WalkStop_R.fbxJCharacters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_StandBy.fbxZCharacters/Avatar/BlackSwan/Avata
BlackSwan,5060c8bc1e02bacbbe300713875cd19c.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5060c8bc1e02bacbbe300713875cd19c.bytes,25587217,3206975,0x30EF3F,aracters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_StandBy.fbxZCharacters/Avatar/BlackSwan/Avatar_00/Animation/Avatar_BlackSwan_00_Adv_Ani_WalkStop_L.fbxWCharacters/Avatar/BlackSwan/Avatar_00/Animation/Avatar_BlackSwan_00_Adv_Ani_StandBy.fbx.......NPC_Avatar_Lady_BlackSwan_00.WalkStop_RMCharacters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_WalkStop_R.fbxJCharacters/Avatar/00_Common/Animation/Lady/Avatar_Lady_Adv_Ani_StandBy.fbxZCharacters/Avatar/BlackSwan/Avatar_00/Animation/Avatar_BlackSwan_00_Ad
