entry_start_hex,name,name_length,marker_hex,encoded_offset_hex,encoded_value,encoded_value_hex,encoded_size,tail_hex,entry_end_hex,occurrence_count,first_occurrence_hex,decoded_offset,decoded_offset_hex,occurrences,candidate_base_hex,record_start_decimal,record_start_hex,name_prefix_offset_hex,record_header_size,record_header_hex,record_alignment_ok,candidate_target_hex,target_matches_name,nearest_occurrence_delta,target_hex_context,target_ascii_context
0xB147F8,Avatar_BlackSwan_00_Skill01_Phase01,35,0x01,0xB1481D,4,0x4,1,0x07,0xB1481F,1,0xB0CC6C,2,0x2,0xB0CC6C,0xB0CC68,11586666,0xB0CC6A,0xB0CC6C,2,1E 13,True,0xB0CC6A,True,2,61 72 5F 42 61 69 6C 75 5F 53 6B 69 6C 6C 54 72 65 65 30 32 01 C2 6A 03 1E 13 23 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F 30 30 5F 53 6B 69 6C 6C 30 31 5F 50 68 61 73 65 30 31 01 10 14 EB 0C 44 04 00 00 00,.i..Avatar_Bailu_SkillTree02..j...#Avatar_BlackSwan_00_Skill01_Phase01.....D....?..2...Caster.#Avatar_BlackSwan_00_Skill01_Phase
0xB1481F,Avatar_BlackSwan_00_Skill01_Phase02,35,0x01,0xB14844,1398,0x576,2,0x07,0xB14847,2,0xB0CCA8,699,0x2BB,"0xB0CCA8,0xB0CF26",0xB0CC68,11587363,0xB0CF23,0xB0CF26,3,01 93 01,True,0xB0CF23,True,3,6B 69 6C 6C 30 31 5F 43 61 72 64 5F 53 74 61 72 74 2E 70 72 65 66 61 62 01 93 01 23 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F 30 30 5F 53 6B 69 6C 6C 30 31 5F 50 68 61 73 65 30 32 01 10 0C 8D 1D 0E 0C 01 06,wan_00_Skill01_Card_Start.prefab...#Avatar_BlackSwan_00_Skill01_Phase02.........Caster.Skill01............AbilityTargetEntity...
0xB14847,Avatar_BlackSwan_00_Skill02_Phase01,35,0x01,0xB1486C,3358,0xD1E,2,0x07,0xB1486F,1,0xB0D2F9,1679,0x68F,0xB0D2F9,0xB0CC68,11588343,0xB0D2F7,0xB0D2F9,2,3E 13,True,0xB0D2F7,True,2,F7 A4 DF EB 05 0D 43 61 73 74 5F 42 79 5F 4C 65 76 65 6C 00 00 CD CC 4C 3E 13 23 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F 30 30 5F 53 6B 69 6C 6C 30 32 5F 50 68 61 73 65 30 31 01 10 1A C3 1B 32 0C 01 06 43,e.............Cast_By_Level....L>.#Avatar_BlackSwan_00_Skill02_Phase01.....2...Caster.#Avatar_BlackSwan_00_Skill02_Phase02...2..
0xB1486F,Avatar_BlackSwan_00_Skill02_Phase02,35,0x01,0xB14894,4420,0x1144,2,0x07,0xB14897,2,0xB0D32D,2210,0x8A2,"0xB0D32D,0xB0D50D",0xB0CC68,11588874,0xB0D50A,0xB0D50D,3,32 93 03,True,0xB0D50A,True,3,1D 0E 0C 01 06 43 61 73 74 65 72 07 53 6B 69 6C 6C 30 32 00 8C 81 AB 8E 32 93 03 23 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F 30 30 5F 53 6B 69 6C 6C 30 32 5F 50 68 61 73 65 30 32 01 10 14 8D 1D 0E 0C 01 06,.....L>......Caster.Skill02.....2..#Avatar_BlackSwan_00_Skill02_Phase02.........Caster.Skill02........&...AbilityTargetEntity...
0xB14897,Avatar_BlackSwan_00_Skill03_Cutin,33,0x01,0xB148BA,8256,0x2040,2,0x07,0xB148BD,1,0xB0DC8A,4128,0x1020,0xB0DC8A,0xB0CC68,11590792,0xB0DC88,0xB0DC8A,2,0F 13,True,0xB0DC88,True,2,65 72 45 6E 74 69 74 79 32 01 06 00 00 01 00 03 11 01 00 01 9C C8 C5 ED 0F 13 21 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F 30 30 5F 53 6B 69 6C 6C 30 33 5F 43 75 74 69 6E 01 0E 12 8E 1E 02 00 A0 B3 E6 CC 19,ifierOwnerEntity2.................!Avatar_BlackSwan_00_Skill03_Cutin..................Caster...................AllDarkTeam...Cas
0xB148BD,Avatar_BlackSwan_00_Skill03_Phase01,35,0x01,0xB148E2,8936,0x22E8,2,0x07,0xB148E5,1,0xB0DDDE,4468,0x1174,0xB0DDDE,0xB0CC68,11591132,0xB0DDDC,0xB0DDDE,2,79 13,True,0xB0DDDC,True,2,00 C0 3F 02 0C 01 12 43 61 73 74 65 72 57 69 74 68 41 6C 6C 45 6E 65 6D 79 13 23 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F 30 30 5F 53 6B 69 6C 6C 30 33 5F 50 68 61 73 65 30 31 01 08 32 D9 02 02 0C 01 06 43,raReady...?....CasterWithAllEnemy.#Avatar_BlackSwan_00_Skill03_Phase01..2......Caster.......AllEnemyWithUnSelectable......@333?.
0xB148E5,Avatar_BlackSwan_00_Skill03_Phase02,35,0x01,0xB1490A,10530,0x2922,2,0x07,0xB1490D,2,0xB0DF3F,5265,0x1491,"0xB0DF3F,0xB0E0FB",0xB0CC68,11591929,0xB0E0F9,0xB0E0FB,2,01 13,True,0xB0E0F9,True,2,16 0C 01 0B 41 6C 6C 44 61 72 6B 54 65 61 6D 0C 01 06 43 61 73 74 65 72 01 13 23 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F 30 30 5F 53 6B 69 6C 6C 30 33 5F 50 68 61 73 65 30 32 01 08 14 8D 1D 0E 0C 01 06 43,ion.........AllDarkTeam...Caster..#Avatar_BlackSwan_00_Skill03_Phase02.........Caster.Skill03.....(.......AllEnemy..Hit.......Ca
0xB1490D,Avatar_BlackSwan_00_PassiveSkill01,34,0x01,0xB14931,11450,0x2CBA,2,0x07,0xB14934,1,0xB0E2C8,5725,0x165D,0xB0E2C8,0xB0CC68,11592389,0xB0E2C5,0xB0E2C8,3,00 93 02,True,0xB0E2C5,True,3,40 05 48 69 74 5F 48 CD CC 4C 3F 00 00 70 C2 01 F5 08 00 A9 1C 00 C6 19 00 93 02 22 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F 30 30 5F 50 61 73 73 69 76 65 53 6B 69 6C 6C 30 31 01 02 08 31 0A 0C 01 06 43 61,"........@.Hit_H..L?..p.............""Avatar_BlackSwan_00_PassiveSkill01...1....Caster..M_BlackSwan_P01_ListenAddPoison..........."
0xB14934,Avatar_BlackSwan_00_SkillMazeInLevel,36,0x01,0xB1495A,16000,0x3E80,2,0x07,0xB1495D,1,0xB0EBAB,8000,0x1F40,0xB0EBAB,0xB0CC68,11594664,0xB0EBA8,0xB0EBAB,3,0A B3 02,True,0xB0EBA8,True,3,02 C3 0D 22 0C 01 06 43 61 73 74 65 72 01 03 01 00 11 00 01 FB F9 C0 89 0A B3 02 24 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F 30 30 5F 53 6B 69 6C 6C 4D 61 7A 65 49 6E 4C 65 76 65 6C 01 02 02 31 0A 0C 01 06,".Caster....""...Caster..............$Avatar_BlackSwan_00_SkillMazeInLevel...1....Caster.$StageAbility_Maze_BlackSwan_Modifier...."
0xB1495D,Avatar_BlackSwan_00_SkillMazeInLevel_Insert,43,0x01,0xB1498A,16690,0x4132,3,0x07,0xB1498E,2,0xB0EC91,8345,0x2099,"0xB0EC91,0xB0ED04",0xB0CC68,11595009,0xB0ED01,0xB0ED04,3,00 B3 02,True,0xB0ED01,True,3,6B 53 77 61 6E 5F 30 30 5F 4D 61 7A 65 5F 53 74 6F 70 41 64 64 44 6F 74 00 B3 02 2B 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F 30 30 5F 53 6B 69 6C 6C 4D 61 7A 65 49 6E 4C 65 76 65 6C 5F 49 6E 73 65 72 74 01,"..M_BlackSwan_00_Maze_StopAddDot...+Avatar_BlackSwan_00_SkillMazeInLevel_Insert.."".........@..MazeSkill_Triggered......>...?...."
