index,expected_name,parsed_name,name_matches,record_length,wrapper_type_code,wrapper_type_hex,ability_bit_field,ability_bit_field_hex,enabled_fields,name_length,mixin_count,first_mixin_type,first_mixin_type_hex,mixin_data_offset,mixin_data_offset_hex,body_preview_hex,record_file
1,Avatar_BlackSwan_00_Skill01_Phase01,Avatar_BlackSwan_00_Skill01_Phase01,True,697,30,0x1E,19,0x13,"ability_name,ability_mixins,field_4_probable_default_modifier",35,1,16,0x10,40,0x28,14 EB 0C 44 04 00 00 00 3F C3 1B 32 0C 01 06 43 61 73 74 65 72 04 23 41 76 61 74 61 72 5F 42 6C,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\01_Avatar_BlackSwan_00_Skill01_Phase01.bin
2,Avatar_BlackSwan_00_Skill01_Phase02,Avatar_BlackSwan_00_Skill01_Phase02,True,980,1,0x1,147,0x93,"ability_name,ability_mixins,field_4_probable_default_modifier,field_7_unknown",35,1,16,0x10,41,0x29,0C 8D 1D 0E 0C 01 06 43 61 73 74 65 72 07 53 6B 69 6C 6C 30 31 00 A8 B9 E8 A2 16 F4 08 06 0C 01,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\02_Avatar_BlackSwan_00_Skill01_Phase02.bin
3,Avatar_BlackSwan_00_Skill02_Phase01,Avatar_BlackSwan_00_Skill02_Phase01,True,531,62,0x3E,19,0x13,"ability_name,ability_mixins,field_4_probable_default_modifier",35,1,16,0x10,40,0x28,1A C3 1B 32 0C 01 06 43 61 73 74 65 72 04 23 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\03_Avatar_BlackSwan_00_Skill02_Phase01.bin
4,Avatar_BlackSwan_00_Skill02_Phase02,Avatar_BlackSwan_00_Skill02_Phase02,True,1918,50,0x32,403,0x193,"ability_name,ability_mixins,field_4_probable_default_modifier,field_7_unknown,field_8_unknown",35,1,16,0x10,41,0x29,14 8D 1D 0E 0C 01 06 43 61 73 74 65 72 07 53 6B 69 6C 6C 30 32 00 D8 9B 89 83 19 F4 08 26 0C 01,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\04_Avatar_BlackSwan_00_Skill02_Phase02.bin
5,Avatar_BlackSwan_00_Skill03_Cutin,Avatar_BlackSwan_00_Skill03_Cutin,True,340,15,0xF,19,0x13,"ability_name,ability_mixins,field_4_probable_default_modifier",33,1,14,0xE,38,0x26,12 8E 1E 02 00 A0 B3 E6 CC 19 D9 02 02 0C 01 06 43 61 73 74 65 72 8E 1E 02 00 E8 CC 99 B3 06 EB,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\05_Avatar_BlackSwan_00_Skill03_Cutin.bin
6,Avatar_BlackSwan_00_Skill03_Phase01,Avatar_BlackSwan_00_Skill03_Phase01,True,797,121,0x79,19,0x13,"ability_name,ability_mixins,field_4_probable_default_modifier",35,1,8,0x8,40,0x28,32 D9 02 02 0C 01 06 43 61 73 74 65 72 C2 14 BE 01 0C 01 18 41 6C 6C 45 6E 65 6D 79 57 69 74 68,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\06_Avatar_BlackSwan_00_Skill03_Phase01.bin
7,Avatar_BlackSwan_00_Skill03_Phase02,Avatar_BlackSwan_00_Skill03_Phase02,True,460,1,0x1,19,0x13,"ability_name,ability_mixins,field_4_probable_default_modifier",35,1,8,0x8,40,0x28,14 8D 1D 0E 0C 01 06 43 61 73 74 65 72 07 53 6B 69 6C 6C 30 33 00 DC F0 FA A8 28 C9 1B 8E 04 0C,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\07_Avatar_BlackSwan_00_Skill03_Phase02.bin
8,Avatar_BlackSwan_00_PassiveSkill01,Avatar_BlackSwan_00_PassiveSkill01,True,2275,0,0x0,275,0x113,"ability_name,ability_mixins,field_4_probable_default_modifier,field_8_unknown",34,1,2,0x2,40,0x28,08 31 0A 0C 01 06 43 61 73 74 65 72 04 1F 4D 5F 42 6C 61 63 6B 53 77 61 6E 5F 50 30 31 5F 4C 69,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\08_Avatar_BlackSwan_00_PassiveSkill01.bin
9,Avatar_BlackSwan_00_SkillMazeInLevel,Avatar_BlackSwan_00_SkillMazeInLevel,True,345,10,0xA,307,0x133,"ability_name,ability_mixins,field_4_probable_default_modifier,field_5_unknown,field_8_unknown",36,1,2,0x2,42,0x2A,02 31 0A 0C 01 06 43 61 73 74 65 72 04 24 53 74 61 67 65 41 62 69 6C 69 74 79 5F 4D 61 7A 65 5F,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\09_Avatar_BlackSwan_00_SkillMazeInLevel.bin
10,Avatar_BlackSwan_00_SkillMazeInLevel_Insert,Avatar_BlackSwan_00_SkillMazeInLevel_Insert,True,1758,0,0x0,307,0x133,"ability_name,ability_mixins,field_4_probable_default_modifier,field_5_unknown,field_8_unknown",43,1,8,0x8,49,0x31,22 BE 15 1C 08 00 80 80 80 80 40 04 13 4D 61 7A 65 53 6B 69 6C 6C 5F 54 72 69 67 67 65 72 65 64,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\10_Avatar_BlackSwan_00_SkillMazeInLevel_Insert.bin
11,Avatar_BlackSwan_00_SkillTree02,Avatar_BlackSwan_00_SkillTree02,True,2336,0,0x0,275,0x113,"ability_name,ability_mixins,field_4_probable_default_modifier,field_8_unknown",31,1,2,0x2,37,0x25,02 31 0A 0C 01 06 43 61 73 74 65 72 04 1A 4D 5F 42 6C 61 63 6B 53 77 61 6E 5F 30 30 5F 53 6B 69,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\11_Avatar_BlackSwan_00_SkillTree02.bin
12,Avatar_BlackSwan_00_SkillTree03,Avatar_BlackSwan_00_SkillTree03,True,582,86,0x56,275,0x113,"ability_name,ability_mixins,field_4_probable_default_modifier,field_8_unknown",31,1,2,0x2,37,0x25,02 31 0A 0C 01 06 43 61 73 74 65 72 04 1A 4D 5F 42 6C 61 63 6B 53 77 61 6E 5F 30 30 5F 53 6B 69,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\12_Avatar_BlackSwan_00_SkillTree03.bin
13,Avatar_BlackSwan_00_Rank01,Avatar_BlackSwan_00_Rank01,True,5424,9,0x9,275,0x113,"ability_name,ability_mixins,field_4_probable_default_modifier,field_8_unknown",26,1,2,0x2,32,0x20,02 31 0A 0C 01 06 43 61 73 74 65 72 04 1B 4D 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\13_Avatar_BlackSwan_00_Rank01.bin
14,Avatar_BlackSwan_00_Rank02,Avatar_BlackSwan_00_Rank02,True,754,15,0xF,275,0x113,"ability_name,ability_mixins,field_4_probable_default_modifier,field_8_unknown",26,1,2,0x2,32,0x20,02 31 0A 0C 01 06 43 61 73 74 65 72 04 1B 4D 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\14_Avatar_BlackSwan_00_Rank02.bin
15,Avatar_BlackSwan_00_Rank06,Avatar_BlackSwan_00_Rank06,True,12433,62,0x3E,275,0x113,"ability_name,ability_mixins,field_4_probable_default_modifier,field_8_unknown",26,1,2,0x2,32,0x20,02 31 0A 0C 01 06 43 61 73 74 65 72 04 1B 4D 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\15_Avatar_BlackSwan_00_Rank06.bin
