category,count,first_offset_decimal,first_offset_hex,offsets,value
mechanic,53,10915586,0xA68F02,"0xA68F02,0xA6914D,0xA694BD,0xA6E0E8,0xA6FCBC,0xA7FB0A,0xAAD3A0,0xAADDAF,0xAADE81,0xAFC98B,0xB11BDA,0xB490DA,0xB5A78B,0xB682B4,0xB68493,0xB686A2,0xB9167F,0xBA31E0,0xBA3562,0xBA3748",DealDamageBlackSwan
mechanic,7,11591274,0xB0DE6A,"0xB0DE6A,0xB5D17C,0xC8A451,0xECB8B9,0xFB76A4,0xFF158B,0x377DB74",#BlackSwan_00_Skill03_TargetPos_Self
mechanic,6,11592392,0xB0E2C8,"0xB0E2C8,0xB1490D,0x1D87ED1,0x1D8810B,0x1E63D20,0x1E63F5A","""Avatar_BlackSwan_00_PassiveSkill01"
mechanic,6,11591425,0xB0DF01,"0xB0DF01,0xC8A4E8,0xCC2F30,0xCC3176,0xECB964,0xFF1622","""Avatar_BlackSwan_00_Skill03_Camera"
mechanic,6,11594979,0xB0ECE3,"0xB0ECE3,0xB0EFCD,0xB0F235,0xB0F2E6,0xB14651,0xB1478D",M_BlackSwan_00_Maze_StopAddDot
mechanic,5,11591752,0xB0E048,"0xB0E048,0xC8A638,0xCC2F5D,0xECBABA,0xFF1786",'Character_BlackSwan_00_Skill03_TimeLine
mechanic,5,11591329,0xB0DEA1,"0xB0DEA1,0xC8A488,0xECB904,0xFF15C2,0x377DB9D",)BlackSwan_00_Skill03_TargetPos_Self_Emeny
mechanic,5,11591604,0xB0DFB4,"0xB0DFB4,0xC8A5A4,0xECBA26,0xFF16F2,0x377DBCC",*BlackSwan_00_Skill03_TargetPos_Self_Emeny2
mechanic,5,11591692,0xB0E00C,"0xB0E00C,0xC8A5FC,0xECBA7E,0xFF174A,0x377DBFC",*BlackSwan_00_Skill03_TargetPos_Self_Emeny3
mechanic,5,16712503,0xFF0337,"0xFF0337,0xFF0477,0xFF04AA,0xFF04DC,0xFF050E",*TAvatar_GridFight_BlackSwan_00_InsertUltra
mechanic,4,13152141,0xC8AF8D,"0xC8AF8D,0xC8B3E8,0xC8B4A6,0x105E6B1",!M_Advanced_BlackSwan_00_Maze_Flag
mechanic,4,11586778,0xB0CCDA,"0xB0CCDA,0xC89BEF,0xCC2D07,0xCC3129","""Avatar_BlackSwan_00_Skill01_Camera"
mechanic,4,11588447,0xB0D35F,"0xB0D35F,0xC89FC0,0xCC2E11,0xCC314F","""Avatar_BlackSwan_00_Skill02_Camera"
