index,name,start_decimal,start_hex,end_decimal,end_hex,length,length_hex,record_header_size,record_header_hex,name_prefix_offset_hex,sha256,output_file
1,Avatar_BlackSwan_00_Skill01_Phase01,11586666,0xB0CC6A,11587363,0xB0CF23,697,0x2B9,2,1E 13,0xB0CC6C,bccedfd8e3d1fa9a9f8f0c1db0fef4ef768005d441ff31343192528f0abe8eec,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\01_Avatar_BlackSwan_00_Skill01_Phase01.bin
2,Avatar_BlackSwan_00_Skill01_Phase02,11587363,0xB0CF23,11588343,0xB0D2F7,980,0x3D4,3,01 93 01,0xB0CF26,6f5ece390b957060b4e2b10a0f481b50662e9e8027915b4f89fcf3ff9c4fbad1,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\02_Avatar_BlackSwan_00_Skill01_Phase02.bin
3,Avatar_BlackSwan_00_Skill02_Phase01,11588343,0xB0D2F7,11588874,0xB0D50A,531,0x213,2,3E 13,0xB0D2F9,97e6ecb8607baf41a8da16b9583b348d1b82207f610f6dc1761ea5ddb2e11fdf,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\03_Avatar_BlackSwan_00_Skill02_Phase01.bin
4,Avatar_BlackSwan_00_Skill02_Phase02,11588874,0xB0D50A,11590792,0xB0DC88,1918,0x77E,3,32 93 03,0xB0D50D,672892099b20c70ffcd1ec7c71e9b95710d110d180797ad547b8158a0baf4f2f,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\04_Avatar_BlackSwan_00_Skill02_Phase02.bin
5,Avatar_BlackSwan_00_Skill03_Cutin,11590792,0xB0DC88,11591132,0xB0DDDC,340,0x154,2,0F 13,0xB0DC8A,6a2fa3b6dfd560356718605b30f1248cf406f8e8c9c47d1756b5c146d0a1bb30,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\05_Avatar_BlackSwan_00_Skill03_Cutin.bin
6,Avatar_BlackSwan_00_Skill03_Phase01,11591132,0xB0DDDC,11591929,0xB0E0F9,797,0x31D,2,79 13,0xB0DDDE,72728b1592a7e27bb98e00df121c243fc3e6ccc9ad5f8269921b29ae1708438f,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\06_Avatar_BlackSwan_00_Skill03_Phase01.bin
7,Avatar_BlackSwan_00_Skill03_Phase02,11591929,0xB0E0F9,11592389,0xB0E2C5,460,0x1CC,2,01 13,0xB0E0FB,d625fbf6139057a07ee8af711b91e714d0cee4d47d4c8c35296a509c65f6186a,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\07_Avatar_BlackSwan_00_Skill03_Phase02.bin
8,Avatar_BlackSwan_00_PassiveSkill01,11592389,0xB0E2C5,11594664,0xB0EBA8,2275,0x8E3,3,00 93 02,0xB0E2C8,b23d032fe48a84d0a1c806dcc1283b53a1c58342667e348e5862b16007d29f32,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\08_Avatar_BlackSwan_00_PassiveSkill01.bin
9,Avatar_BlackSwan_00_SkillMazeInLevel,11594664,0xB0EBA8,11595009,0xB0ED01,345,0x159,3,0A B3 02,0xB0EBAB,14fc0648da932aed2ff6f9869db5603436ee16ab6c16dd428b75eb157119df92,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\09_Avatar_BlackSwan_00_SkillMazeInLevel.bin
10,Avatar_BlackSwan_00_SkillMazeInLevel_Insert,11595009,0xB0ED01,11596767,0xB0F3DF,1758,0x6DE,3,00 B3 02,0xB0ED04,e00c82eb7fa9f3a2417f4cb578fa195141deee7ee135261d3bfc5dd7b33bd4a1,D:\HSR_Battle_Agent\hsr-battle-agent\data\raw\4.4.53\manifest\config_record_probes\black_swan_records\10_Avatar_BlackSwan_00_SkillMazeInLevel_Insert.bin
