category,prefix_offset_decimal,prefix_offset_hex,string_offset_decimal,string_offset_hex,prefix_size,prefix_hex,length,string_end_hex,before_hex,after_hex,value
other,11583512,0xB0C018,11583513,0xB0C019,1,0D,13,0xB0C026,01 00 11 00 01 AE A6 E0 E0 0E 02 A8 0F 06 F0 03 08 10 02 31 8A 40 0C 01,04 18 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 30 30 5F 50 6F 69 6E 74 42 33 02 14 4D 44 46 5F,AllTeamMember
mechanic_symbol,11583527,0xB0C027,11583528,0xB0C028,1,18,24,0xB0C040,E0 E0 0E 02 A8 0F 06 F0 03 08 10 02 31 8A 40 0C 01 0D 41 6C 6C 54 65 61 6D 4D 65 6D 62 65 72 04,02 14 4D 44 46 5F 44 61 6D 61 67 65 52 65 73 69 73 74 61 6E 63 65 01 03 01 00 11 00 01 AE 84 B3,MAvatar_Bailu_00_PointB3
dynamic_field,11583553,0xB0C041,11583554,0xB0C042,1,14,20,0xB0C056,65 6D 62 65 72 04 18 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 30 30 5F 50 6F 69 6E 74 42 33 02,01 03 01 00 11 00 01 AE 84 B3 DE 0C 13 18 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 53 6B 69 6C 6C,MDF_DamageResistance
mechanic_symbol,11583587,0xB0C063,11583588,0xB0C064,1,18,24,0xB0C07C,44 46 5F 44 61 6D 61 67 65 52 65 73 69 73 74 61 6E 63 65 01 03 01 00 11 00 01 AE 84 B3 DE 0C 13,01 02 02 31 0A 0C 01 06 43 61 73 74 65 72 04 18 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 30 30,Avatar_Bailu_SkillTree01
entity_selector,11583619,0xB0C083,11583620,0xB0C084,1,06,6,0xB0C08A,18 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 53 6B 69 6C 6C 54 72 65 65 30 31 01 02 02 31 0A 0C 01,04 18 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 30 30 5F 50 6F 69 6E 74 42 31 13 18 41 76 61 74,Caster
mechanic_symbol,11583627,0xB0C08B,11583628,0xB0C08C,1,18,24,0xB0C0A4,42 61 69 6C 75 5F 53 6B 69 6C 6C 54 72 65 65 30 31 01 02 02 31 0A 0C 01 06 43 61 73 74 65 72 04,13 18 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 53 6B 69 6C 6C 54 72 65 65 30 32 01 02 00 14 1A 4D,MAvatar_Bailu_00_PointB1
mechanic_symbol,11583653,0xB0C0A5,11583654,0xB0C0A6,1,18,24,0xB0C0BE,61 73 74 65 72 04 18 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 30 30 5F 50 6F 69 6E 74 42 31 13,01 02 00 14 1A 4D 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 52 65 76 69 76 65 5F 52 65 61 64 79 84,Avatar_Bailu_SkillTree02
mechanic_symbol,11583682,0xB0C0C2,11583683,0xB0C0C3,1,1A,26,0xB0C0DD,42 31 13 18 41 76 61 74 61 72 5F 42 61 69 6C 75 5F 53 6B 69 6C 6C 54 72 65 65 30 32 01 02 00 14,84 80 80 10 0E 06 05 50 00 05 68 02 A8 0F 0E 34 04 02 C8 01 D0 01 1C 4D 41 76 61 74 61 72 5F 42,MAvatar_Bailu_Revive_Ready
mechanic_symbol,11583731,0xB0C0F3,11583732,0xB0C0F4,1,1C,28,0xB0C110,76 69 76 65 5F 52 65 61 64 79 84 80 80 10 0E 06 05 50 00 05 68 02 A8 0F 0E 34 04 02 C8 01 D0 01,02 00 00 02 A8 0F 0E AD 01 1C 0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79,MAvatar_Bailu_00_ReviveEvent
entity_selector,11583772,0xB0C11C,11583773,0xB0C11D,1,13,19,0xB0C130,42 61 69 6C 75 5F 30 30 5F 52 65 76 69 76 65 45 76 65 6E 74 02 00 00 02 A8 0F 0E AD 01 1C 0C 01,0A 00 00 02 A8 0F 0E 34 04 02 FF 03 3C 0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74,ModifierOwnerEntity
entity_selector,11583807,0xB0C13F,11583808,0xB0C140,1,13,19,0xB0C153,64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79 0A 00 00 02 A8 0F 0E 34 04 02 FF 03 3C 0C 01,00 0C 01 06 43 61 73 74 65 72 00 00 02 A8 0F 0E AD 01 1C 0C 01 06 43 61 73 74 65 72 0A 00 00 00,ModifierOwnerEntity
entity_selector,11583830,0xB0C156,11583831,0xB0C157,1,06,6,0xB0C15D,0E 34 04 02 FF 03 3C 0C 01 13 4D 6F 64 69 66 69 65 72 4F 77 6E 65 72 45 6E 74 69 74 79 00 0C 01,00 00 02 A8 0F 0E AD 01 1C 0C 01 06 43 61 73 74 65 72 0A 00 00 00 02 A8 0F 0E 38 04 04 9C 02 0C,Caster
