section,config_path,pattern_type,chunk_name,chunk_path,chunk_size,offset_decimal,offset_hex,text_context,hex_context
GlobalModifierConfig,Config/ConfigGlobalModifier/GlobalModifier.json,file_stem,5515caf6ca5446d524d17c5c9da6c3c2.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5515caf6ca5446d524d17c5c9da6c3c2.bytes,125590141,10582978,0xA17BC2,..3.Activity_FateHougu_GaeBolg_Fake........._Count..........Caster.*MActivity_FateHougu_GaeBolg_GlobalModifier.1.@...Caster.*MActivity_FateHougu_GaeBolg_GlobalModifier..MDF_PropertyValue......,61 6B 65 01 02 06 E0 15 12 E9 07 06 5F 43 6F 75 6E 74 A8 0F 0E F6 02 0E 01 0C 01 06 43 61 73 74 65 72 04 2A 4D 41 63 74 69 76 69 74 79 5F 46 61 74 65 48 6F 75 67 75 5F 47 61 65 42 6F 6C 67 5F 47 6C 6F 62 61 6C 4D 6F 64 69 66 69 65 72 02 31 8A 40 0C 01 06 43 61 73 74 65 72 04 2A 4D 41 63 74 69 76 69 74 79 5F 46 61 74 65 48 6F 75 67 75 5F 47 61 65 42 6F 6C 67 5F 47 6C 6F 62 61 6C 4D
GlobalModifierConfig,Config/ConfigGlobalModifier/GlobalModifier.json,file_stem,5515caf6ca5446d524d17c5c9da6c3c2.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5515caf6ca5446d524d17c5c9da6c3c2.bytes,125590141,10583035,0xA17BFB,...Caster.*MActivity_FateHougu_GaeBolg_GlobalModifier.1.@...Caster.*MActivity_FateHougu_GaeBolg_GlobalModifier..MDF_PropertyValue...............................|...Caster.*MActivity_FateHougu_,61 65 42 6F 6C 67 5F 47 6C 6F 62 61 6C 4D 6F 64 69 66 69 65 72 02 31 8A 40 0C 01 06 43 61 73 74 65 72 04 2A 4D 41 63 74 69 76 69 74 79 5F 46 61 74 65 48 6F 75 67 75 5F 47 61 65 42 6F 6C 67 5F 47 6C 6F 62 61 6C 4D 6F 64 69 66 69 65 72 02 11 4D 44 46 5F 50 72 6F 70 65 72 74 79 56 61 6C 75 65 01 09 01 00 01 01 01 02 03 04 11 00 03 B8 97 C1 B9 03 C3 D9 B2 80 0A 8D 95 A7 89 01 02 9B 17
GlobalModifierConfig,Config/ConfigGlobalModifier/GlobalModifier.json,file_stem,5515caf6ca5446d524d17c5c9da6c3c2.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5515caf6ca5446d524d17c5c9da6c3c2.bytes,125590141,10583139,0xA17C63,difier..MDF_PropertyValue...............................|...Caster.*MActivity_FateHougu_GaeBolg_GlobalModifier..MDF_PropertyValue.............................................._FormerCount.....,02 03 04 11 00 03 B8 97 C1 B9 03 C3 D9 B2 80 0A 8D 95 A7 89 01 02 9B 17 7C 0C 01 06 43 61 73 74 65 72 04 2A 4D 41 63 74 69 76 69 74 79 5F 46 61 74 65 48 6F 75 67 75 5F 47 61 65 42 6F 6C 67 5F 47 6C 6F 62 61 6C 4D 6F 64 69 66 69 65 72 04 11 4D 44 46 5F 50 72 6F 70 65 72 74 79 56 61 6C 75 65 01 09 01 00 01 01 01 02 03 04 11 00 03 B8 97 C1 B9 03 C3 D9 B2 80 0A 8D 95 A7 89 01 04 BE 15
GlobalModifierConfig,Config/ConfigGlobalModifier/GlobalModifier.json,file_stem,5515caf6ca5446d524d17c5c9da6c3c2.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5515caf6ca5446d524d17c5c9da6c3c2.bytes,125590141,10583354,0xA17D3A,3!Activity_FateHougu_GaeBolg_Normal........._Count..........Caster.*MActivity_FateHougu_GaeBolg_GlobalModifier.1.@...Caster.*MActivity_FateHougu_GaeBolg_GlobalModifier..MDF_PropertyValue......,6D 61 6C 01 02 06 E0 15 12 CD 08 06 5F 43 6F 75 6E 74 A8 0F 0E F6 02 0E 01 0C 01 06 43 61 73 74 65 72 04 2A 4D 41 63 74 69 76 69 74 79 5F 46 61 74 65 48 6F 75 67 75 5F 47 61 65 42 6F 6C 67 5F 47 6C 6F 62 61 6C 4D 6F 64 69 66 69 65 72 02 31 8A 40 0C 01 06 43 61 73 74 65 72 04 2A 4D 41 63 74 69 76 69 74 79 5F 46 61 74 65 48 6F 75 67 75 5F 47 61 65 42 6F 6C 67 5F 47 6C 6F 62 61 6C 4D
GlobalModifierConfig,Config/ConfigGlobalModifier/GlobalModifier.json,file_stem,5515caf6ca5446d524d17c5c9da6c3c2.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5515caf6ca5446d524d17c5c9da6c3c2.bytes,125590141,10583411,0xA17D73,...Caster.*MActivity_FateHougu_GaeBolg_GlobalModifier.1.@...Caster.*MActivity_FateHougu_GaeBolg_GlobalModifier..MDF_PropertyValue...............................|...Caster.*MActivity_FateHougu_,61 65 42 6F 6C 67 5F 47 6C 6F 62 61 6C 4D 6F 64 69 66 69 65 72 02 31 8A 40 0C 01 06 43 61 73 74 65 72 04 2A 4D 41 63 74 69 76 69 74 79 5F 46 61 74 65 48 6F 75 67 75 5F 47 61 65 42 6F 6C 67 5F 47 6C 6F 62 61 6C 4D 6F 64 69 66 69 65 72 02 11 4D 44 46 5F 50 72 6F 70 65 72 74 79 56 61 6C 75 65 01 09 01 00 01 01 01 02 03 04 11 00 03 B8 97 C1 B9 03 C3 D9 B2 80 0A 8D 95 A7 89 01 02 9B 17
GlobalModifierConfig,Config/ConfigGlobalModifier/GlobalModifier.json,file_stem,5515caf6ca5446d524d17c5c9da6c3c2.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5515caf6ca5446d524d17c5c9da6c3c2.bytes,125590141,10583515,0xA17DDB,difier..MDF_PropertyValue...............................|...Caster.*MActivity_FateHougu_GaeBolg_GlobalModifier..MDF_PropertyValue.............................................._FormerCount.....,02 03 04 11 00 03 B8 97 C1 B9 03 C3 D9 B2 80 0A 8D 95 A7 89 01 02 9B 17 7C 0C 01 06 43 61 73 74 65 72 04 2A 4D 41 63 74 69 76 69 74 79 5F 46 61 74 65 48 6F 75 67 75 5F 47 61 65 42 6F 6C 67 5F 47 6C 6F 62 61 6C 4D 6F 64 69 66 69 65 72 04 11 4D 44 46 5F 50 72 6F 70 65 72 74 79 56 61 6C 75 65 01 09 01 00 01 01 01 02 03 04 11 00 03 B8 97 C1 B9 03 C3 D9 B2 80 0A 8D 95 A7 89 01 04 BE 15
GlobalModifierConfig,Config/ConfigGlobalModifier/GlobalModifier.json,file_stem,5515caf6ca5446d524d17c5c9da6c3c2.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5515caf6ca5446d524d17c5c9da6c3c2.bytes,125590141,10583728,0xA17EB0,..3.Activity_FateHougu_GaeBolg_True........._Count..........Caster.*MActivity_FateHougu_GaeBolg_GlobalModifier.1.@...Caster.*MActivity_FateHougu_GaeBolg_GlobalModifier..MDF_PropertyValue......,72 75 65 01 02 06 E0 15 12 B1 09 06 5F 43 6F 75 6E 74 A8 0F 0E F6 02 0E 01 0C 01 06 43 61 73 74 65 72 04 2A 4D 41 63 74 69 76 69 74 79 5F 46 61 74 65 48 6F 75 67 75 5F 47 61 65 42 6F 6C 67 5F 47 6C 6F 62 61 6C 4D 6F 64 69 66 69 65 72 02 31 8A 40 0C 01 06 43 61 73 74 65 72 04 2A 4D 41 63 74 69 76 69 74 79 5F 46 61 74 65 48 6F 75 67 75 5F 47 61 65 42 6F 6C 67 5F 47 6C 6F 62 61 6C 4D
GlobalModifierConfig,Config/ConfigGlobalModifier/GlobalModifier.json,file_stem,5515caf6ca5446d524d17c5c9da6c3c2.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5515caf6ca5446d524d17c5c9da6c3c2.bytes,125590141,10583785,0xA17EE9,...Caster.*MActivity_FateHougu_GaeBolg_GlobalModifier.1.@...Caster.*MActivity_FateHougu_GaeBolg_GlobalModifier..MDF_PropertyValue...............................|...Caster.*MActivity_FateHougu_,61 65 42 6F 6C 67 5F 47 6C 6F 62 61 6C 4D 6F 64 69 66 69 65 72 02 31 8A 40 0C 01 06 43 61 73 74 65 72 04 2A 4D 41 63 74 69 76 69 74 79 5F 46 61 74 65 48 6F 75 67 75 5F 47 61 65 42 6F 6C 67 5F 47 6C 6F 62 61 6C 4D 6F 64 69 66 69 65 72 02 11 4D 44 46 5F 50 72 6F 70 65 72 74 79 56 61 6C 75 65 01 09 01 00 01 01 01 02 03 04 11 00 03 B8 97 C1 B9 03 C3 D9 B2 80 0A 8D 95 A7 89 01 02 9B 17
GlobalModifierConfig,Config/ConfigGlobalModifier/GlobalModifier.json,file_stem,5515caf6ca5446d524d17c5c9da6c3c2.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5515caf6ca5446d524d17c5c9da6c3c2.bytes,125590141,10583889,0xA17F51,difier..MDF_PropertyValue...............................|...Caster.*MActivity_FateHougu_GaeBolg_GlobalModifier..MDF_PropertyValue.............................................._FormerCount.....,02 03 04 11 00 03 B8 97 C1 B9 03 C3 D9 B2 80 0A 8D 95 A7 89 01 02 9B 17 7C 0C 01 06 43 61 73 74 65 72 04 2A 4D 41 63 74 69 76 69 74 79 5F 46 61 74 65 48 6F 75 67 75 5F 47 61 65 42 6F 6C 67 5F 47 6C 6F 62 61 6C 4D 6F 64 69 66 69 65 72 04 11 4D 44 46 5F 50 72 6F 70 65 72 74 79 56 61 6C 75 65 01 09 01 00 01 01 01 02 03 04 11 00 03 B8 97 C1 B9 03 C3 D9 B2 80 0A 8D 95 A7 89 01 04 BE 15
GlobalModifierConfig,Config/ConfigGlobalModifier/GlobalModifier.json,file_stem,5515caf6ca5446d524d17c5c9da6c3c2.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5515caf6ca5446d524d17c5c9da6c3c2.bytes,125590141,10584104,0xA18028,3 Activity_FateHougu_Zelretch_Fake........._Count..........Caster.7MActivity_FateHougu_Zelretch_GlobalModifier_SpareDamage.1.@...Caster.7MActivity_FateHougu_Zelretch_GlobalModifier_SpareDamage,6B 65 01 02 06 E0 15 12 ED 07 06 5F 43 6F 75 6E 74 A8 0F 0E F6 02 0E 01 0C 01 06 43 61 73 74 65 72 04 37 4D 41 63 74 69 76 69 74 79 5F 46 61 74 65 48 6F 75 67 75 5F 5A 65 6C 72 65 74 63 68 5F 47 6C 6F 62 61 6C 4D 6F 64 69 66 69 65 72 5F 53 70 61 72 65 44 61 6D 61 67 65 02 31 8A 40 0C 01 06 43 61 73 74 65 72 04 37 4D 41 63 74 69 76 69 74 79 5F 46 61 74 65 48 6F 75 67 75 5F 5A 65 6C
