"Channel","Layer","Name","Length","SHA256","FullName"
"DesignData","StreamingAssets","025d96a23b38b165ac6b81183c96efd7.bytes","210372","644EE13956C6CAA647AA01A5E005D9FFC663ECCDF34AEFFF3B5A0CEA1CA712D8","D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\025d96a23b38b165ac6b81183c96efd7.bytes"
"DesignData","Persistent","170a7b97c28b24f49cdd7ac751bd23a1.bytes","36385018","86384D8BFD9A4BDD3E4CDD5B5ACB46975CF65ADBF944D3219AD92B30823EAF6D","D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\en\170a7b97c28b24f49cdd7ac751bd23a1.bytes"
"DesignData","Persistent","1f0ec04a11f323b36c8369cbf0c905e1.bytes","224587","0D32A28E026BE0B831AD5E92FC53DBF4FB33E8EF50CBD3EF574B8CCAEB163D5A","D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\1f0ec04a11f323b36c8369cbf0c905e1.bytes"
"DesignData","StreamingAssets","264da6d7fc597d81d3d3668561853bb6.bytes","73850","7C368D174CC0846229A1BD0CCC8FC382767D2412EBB2679501762ADFD23AE6B8","D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\264da6d7fc597d81d3d3668561853bb6.bytes"
"DesignData","Persistent","464d61cd0304f6d80227c9daad855e42.bytes","20260919","C9B106FAF3DFA7976FFA38CCC6AA6D34F926DE4C7FAA1BDB6B4D056009EE95DC","D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\464d61cd0304f6d80227c9daad855e42.bytes"
"DesignData","Persistent","5060c8bc1e02bacbbe300713875cd19c.bytes","25587217","F3F37D7AA3FFDAB80251B0D40E67AD82BFA86FA084E4DE012AE99D29386A9093","D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5060c8bc1e02bacbbe300713875cd19c.bytes"
"DesignData","Persistent","5515caf6ca5446d524d17c5c9da6c3c2.bytes","125590141","972579AB9F65A4445F52597C53750F2B9A85089FE418E9148584176C588E56AA","D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5515caf6ca5446d524d17c5c9da6c3c2.bytes"
"DesignData","StreamingAssets","568be8a890f00f6dbc419045f1c8ab63.bytes","71241","5997128EA41CD5B419739A7876EF4A4F123E8B32C15608857DBA5214A734427F","D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\568be8a890f00f6dbc419045f1c8ab63.bytes"
"DesignData","StreamingAssets","96da02a55ec4d58012713ac3506330a6.bytes","80021","9B2A300DCD5217EFFE5A15BE9DD6091B237968B005B79300BD1577E39FB86BB6","D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\96da02a55ec4d58012713ac3506330a6.bytes"
"DesignData","Persistent","9e6e90bbead9c7873c31e4a8e644f1c9.bytes","19440218","D233C150B566A972A9BC82965BF33E8E9427D1D0D2622C21F5F122584CF7002D","D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\9e6e90bbead9c7873c31e4a8e644f1c9.bytes"
"DesignData","StreamingAssets","c55c9c8212dde2f3dd5ce4612ca85378.bytes","89772","75EC4FABBDB7FE57729E15B9E8C5D37DEC94050F5694C5417E07D89277C12328","D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\c55c9c8212dde2f3dd5ce4612ca85378.bytes"
"DesignData","StreamingAssets","c9cf5ad44b49974030eb5e736e73c3c6.bytes","94639","736CE9CE7E8AF51401B54BF076EBD8AFA6DEB70A007B8FE57C311068CAD22F47","D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\c9cf5ad44b49974030eb5e736e73c3c6.bytes"
"DesignData","Persistent","dbef39a4802332d1eaa116b8831ce964.bytes","4759407","7B009ECF9C323CF8D9360E446C233411FA6F0F05673CE6F46014444CFBE068DD","D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\dbef39a4802332d1eaa116b8831ce964.bytes"
"DesignData","Persistent","DesignV_3aec6e1347b25716893d3b81030c34d6.bytes","2212849","6EDC1D8FA835112679E65E3F2B6499C6091A5048B578C1789BAC73A842CCDFAE","D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\DesignV_3aec6e1347b25716893d3b81030c34d6.bytes"
"DesignData","StreamingAssets","DesignV_60abaa707bf6885978f8dd5a156d03c8.bytes","714","55946F50C20385D4EC4E0841ED1CAE8C52D2F7396A794095A6652EBE959094BB","D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\DesignV_60abaa707bf6885978f8dd5a156d03c8.bytes"
"DesignData","Persistent","e4ac26774ad898a5dabf7d71940456a8.bytes","31982648","438A48631DD1D88DFFF55E80DE9C3C7D723AF8794D770E02F9ABE6B33E992552","D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\cn\e4ac26774ad898a5dabf7d71940456a8.bytes"
"DesignData","Persistent","edd7d527b0962f4ec2e49789746fb0d2.bytes","184370","078AC12FAB39F08401B777D9F7C35BA0B1248CB28F7AF19AFFA1EA900FA731E4","D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\edd7d527b0962f4ec2e49789746fb0d2.bytes"
"DesignData","StreamingAssets","M_Design_ArchiveV.bytes","428","C00E66CCA4C177388EA66B5F1EAD09BD6E6C837B142BD414871F8B3FE2687C68","D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\M_Design_ArchiveV.bytes"
"DesignData","Persistent","M_DesignV.bytes","66","95F1F659520479EF66B19D0E3D23FECC49B8D0A8ACDE3B5E0F1783B25197A336","D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\M_DesignV.bytes"
"DesignData","StreamingAssets","M_DesignV.bytes","66","50CFF01052119FB69CD5C367089B187D6A4EB0DA519FA5F63A47B328D73D7F16","D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\M_DesignV.bytes"
"NativeData","StreamingAssets","BaseDeviceProfile.ini","3503","73B485E2CBB1631DAAD3453AC32E64C2CA4F35758399AD38F003EFD37052C259","D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\NativeData\Windows\ConsoleConfig\BaseDeviceProfile.ini"
"NativeData","StreamingAssets","CustomDeviceProfile.ini","1269","5EBB375A0A206EC7F2C388B34FB021B1A809CF8160A3812DC7BF2AED938B19A6","D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\NativeData\Windows\ConsoleConfig\CustomDeviceProfile.ini"
"NativeData","StreamingAssets","DefaultDeviceProfile.ini","35704","2C4BC7F15B0FB3E7051EBE1BFD7F2CEC2D94077CC313474B59F30DD06E7B87EB","D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\NativeData\Windows\ConsoleConfig\DefaultDeviceProfile.ini"
"NativeData","Persistent","M_NativeDataV.bytes","66","02E008F20519EEC2A11EADA2931CF5716213F50E6EB68D8180707EAB519CEEEC","D:\StarRail_4.4.53\StarRail_Data\Persistent\NativeData\Windows\M_NativeDataV.bytes"
"NativeData","StreamingAssets","M_NativeDataV.bytes","66","A0A590CE832767EBB2FC62E5A8D59BEFCDC2B188513744F712247487F1008DAD","D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\NativeData\Windows\M_NativeDataV.bytes"
"NativeData","Persistent","NativeDataV_f3ee0eeb3cdb39b3330d6bd25353027e.bytes","254","5BC87E3B7EA1F57BBE3367F9BCC399517AB35D79D1FCE472BE61C2966BA24864","D:\StarRail_4.4.53\StarRail_Data\Persistent\NativeData\Windows\NativeDataV_f3ee0eeb3cdb39b3330d6bd25353027e.bytes"
"NativeData","StreamingAssets","NativeDataV_f3ee0eeb3cdb39b3330d6bd25353027e.bytes","254","5BC87E3B7EA1F57BBE3367F9BCC399517AB35D79D1FCE472BE61C2966BA24864","D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\NativeData\Windows\NativeDataV_f3ee0eeb3cdb39b3330d6bd25353027e.bytes"
