"Hash","Layer","Length","FullName"
"5515caf6ca5446d524d17c5c9da6c3c2","Persistent","125590141","D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5515caf6ca5446d524d17c5c9da6c3c2.bytes"
"5060c8bc1e02bacbbe300713875cd19c","Persistent","25587217","D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\5060c8bc1e02bacbbe300713875cd19c.bytes"
"464d61cd0304f6d80227c9daad855e42","Persistent","20260919","D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\464d61cd0304f6d80227c9daad855e42.bytes"
"9e6e90bbead9c7873c31e4a8e644f1c9","Persistent","19440218","D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\9e6e90bbead9c7873c31e4a8e644f1c9.bytes"
"dbef39a4802332d1eaa116b8831ce964","Persistent","4759407","D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\dbef39a4802332d1eaa116b8831ce964.bytes"
"1f0ec04a11f323b36c8369cbf0c905e1","Persistent","224587","D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\1f0ec04a11f323b36c8369cbf0c905e1.bytes"
"025d96a23b38b165ac6b81183c96efd7","StreamingAssets","210372","D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\025d96a23b38b165ac6b81183c96efd7.bytes"
"edd7d527b0962f4ec2e49789746fb0d2","Persistent","184370","D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\edd7d527b0962f4ec2e49789746fb0d2.bytes"
"c9cf5ad44b49974030eb5e736e73c3c6","StreamingAssets","94639","D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\c9cf5ad44b49974030eb5e736e73c3c6.bytes"
"c55c9c8212dde2f3dd5ce4612ca85378","StreamingAssets","89772","D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\c55c9c8212dde2f3dd5ce4612ca85378.bytes"
"96da02a55ec4d58012713ac3506330a6","StreamingAssets","80021","D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\96da02a55ec4d58012713ac3506330a6.bytes"
"264da6d7fc597d81d3d3668561853bb6","StreamingAssets","73850","D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\264da6d7fc597d81d3d3668561853bb6.bytes"
"568be8a890f00f6dbc419045f1c8ab63","StreamingAssets","71241","D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\DesignData\Windows\568be8a890f00f6dbc419045f1c8ab63.bytes"
