token,chunk_name,chunk_path,chunk_size,offset_decimal,offset_hex,context
MAvatar_BlackSwan_00,8625dd99e13b0dfe6b45f47f9bfe3e36.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\8625dd99e13b0dfe6b45f47f9bfe3e36.bytes,125829538,11498147,0xAF72A3,"...................@........Rank06_Weighted_Stack_Layer..............@...Rank06_Weighted_Stack_Layer1.. ...AbilityTargetEntity..MAvatar_BlackSwan_00_DOT......................................Basic_DamagePercentage.............ExtraLayer_DamagePercentage.............SecondLayer.............Spread_DamagePercentage.............ThirdLayer.............DefenceIgnore.............Cast_By_Level....L>.#Avatar_BlackSwan_00_Skill02_Phase01.....2...Caster.#Avatar_BlackSwan_00_Skill02_Phase02...2...Caster.""Avatar_BlackSwan_00_Skill02_Camera."
MAvatar_BlackSwan_00,8625dd99e13b0dfe6b45f47f9bfe3e36.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\8625dd99e13b0dfe6b45f47f9bfe3e36.bytes,125829538,11499816,0xAF7928,...........................@........Rank06_Weighted_Stack_Layer..............@...Rank06_Weighted_Stack_Layer1.. ...ParamEntity..MAvatar_BlackSwan_00_DOT......................................Basic_DamagePercentage.............ExtraLayer_DamagePercentage.............SecondLayer.............Spread_DamagePercentage.............ThirdLayer.............DefenceIgnore.............Cast_By_Level....L>1.E...AbilityTargetEntity. MAvatar_BlackSwan_00_DefenceDown..........................MDF_PropertyValue..............j...AbilityTargetAdjoin
MAvatar_BlackSwan_00,8625dd99e13b0dfe6b45f47f9bfe3e36.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\8625dd99e13b0dfe6b45f47f9bfe3e36.bytes,125829538,11500108,0xAF7A4C,ead_DamagePercentage.............ThirdLayer.............DefenceIgnore.............Cast_By_Level....L>1.E...AbilityTargetEntity. MAvatar_BlackSwan_00_DefenceDown..........................MDF_PropertyValue..............j...AbilityTargetAdjoinEntity.........1.E...ParamEntity. MAvatar_BlackSwan_00_DefenceDown..........................MDF_PropertyValue..................AddDot....................................@........Rank06_Weighted_Stack_Layer..............@...Rank06_Weighted_Stack_Layer1.. ...AbilityTargetEntity..MAvatar_BlackS
MAvatar_BlackSwan_00,8625dd99e13b0dfe6b45f47f9bfe3e36.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\8625dd99e13b0dfe6b45f47f9bfe3e36.bytes,125829538,11500254,0xAF7ADE,00_DefenceDown..........................MDF_PropertyValue..............j...AbilityTargetAdjoinEntity.........1.E...ParamEntity. MAvatar_BlackSwan_00_DefenceDown..........................MDF_PropertyValue..................AddDot....................................@........Rank06_Weighted_Stack_Layer..............@...Rank06_Weighted_Stack_Layer1.. ...AbilityTargetEntity..MAvatar_BlackSwan_00_DOT......................................Basic_DamagePercentage.............ExtraLayer_DamagePercentage.............SecondLayer............
MAvatar_BlackSwan_00,8625dd99e13b0dfe6b45f47f9bfe3e36.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\8625dd99e13b0dfe6b45f47f9bfe3e36.bytes,125829538,11500498,0xAF7BD2,...................@........Rank06_Weighted_Stack_Layer..............@...Rank06_Weighted_Stack_Layer1.. ...AbilityTargetEntity..MAvatar_BlackSwan_00_DOT......................................Basic_DamagePercentage.............ExtraLayer_DamagePercentage.............SecondLayer.............Spread_DamagePercentage.............ThirdLayer.............DefenceIgnore.............Cast_By_Level....L>. MAvatar_BlackSwan_00_DefenceDown....................j.......ModifierOwnerEntity2.................!Avatar_BlackSwan_00_Skill03_Cutin......
MAvatar_BlackSwan_00,8625dd99e13b0dfe6b45f47f9bfe3e36.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\8625dd99e13b0dfe6b45f47f9bfe3e36.bytes,125829538,11500765,0xAF7CDD,condLayer.............Spread_DamagePercentage.............ThirdLayer.............DefenceIgnore.............Cast_By_Level....L>. MAvatar_BlackSwan_00_DefenceDown....................j.......ModifierOwnerEntity2.................!Avatar_BlackSwan_00_Skill03_Cutin..................Caster...................AllDarkTeam...Caster.......?...>.......~..{..?.G.........AbilityTargetEntity....q=.@....fff?..PA...?...?...@...B......CasterWithAllEnemy........ .......f....h?)\....c....AbilityTargetEntity..@....@....fff?...A..`@..\B*..Blend_Ultr
MAvatar_BlackSwan_00,8625dd99e13b0dfe6b45f47f9bfe3e36.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\8625dd99e13b0dfe6b45f47f9bfe3e36.bytes,125829538,11502194,0xAF8272,".....AllEnemy..Hit.......Caster.Skill03.....-..................AllEnemy..Hit................Caster.Skill03.....71.L...AllEnemy. MAvatar_BlackSwan_00_DOT_Enhance..........................MDF_PropertyValue.............MDF_ResistanceDown.............MDF_Count.............SecondLayer.............ThirdLayer..............&...AllEnemy......... ..........5.................@.Hit_H..L?..p.............""Avatar_BlackSwan_00_PassiveSkill01...1....Caster..M_BlackSwan_P01_ListenAddPoison..............J..Max_DOT_Layer............1....Caster..M"
MAvatar_BlackSwan_00,8625dd99e13b0dfe6b45f47f9bfe3e36.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\8625dd99e13b0dfe6b45f47f9bfe3e36.bytes,125829538,11503099,0xAF85FB,"k_Layer..............@...Rank06_Weighted_Stack_Layer.....,...ParamEntity..M_BlackSwan_00_ForbidEffectFlag..1.......ParamEntity..MAvatar_BlackSwan_00_DOT......................................Basic_DamagePercentage.............ExtraLayer_DamagePercentage.............SecondLayer.............Spread_DamagePercentage.............ThirdLayer.............DefenceIgnore.............Cast_By_Level............yD.....1.. ...ParamEntity..MAvatar_BlackSwan_00_DOT......................................Basic_DamagePercentage.............ExtraLaye"
MAvatar_BlackSwan_00,8625dd99e13b0dfe6b45f47f9bfe3e36.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\8625dd99e13b0dfe6b45f47f9bfe3e36.bytes,125829538,11503397,0xAF8725,magePercentage.............ThirdLayer.............DefenceIgnore.............Cast_By_Level............yD.....1.. ...ParamEntity..MAvatar_BlackSwan_00_DOT......................................Basic_DamagePercentage.............ExtraLayer_DamagePercentage.............SecondLayer.............Spread_DamagePercentage.............ThirdLayer.............DefenceIgnore.............Cast_By_Level....L>*M_BlackSwan_P01_ListenAddPoison_SubOnEnemy......|....1....ModifierOwnerEntity.;M_BlackSwan_P01_ListenAddPoison_SubOnEnemy_ListenPhase1Mark
MAvatar_BlackSwan_00,8625dd99e13b0dfe6b45f47f9bfe3e36.bytes,D:\StarRail_4.4.53\StarRail_Data\Persistent\DesignData\Windows\8625dd99e13b0dfe6b45f47f9bfe3e36.bytes,125829538,11504607,0xAF8BDF,"Enemy.M_BlackSwan_Rank04_Listener......n..........ParamEntity2....4........ParamEntity..........ParamEntity2...l...ParamEntity. MAvatar_BlackSwan_00_DOT_Enhance....>....ParamEntity.%M_BlackSwan_00_DOT_Rank04_HaveAddedSP...Caster....""...Caster..............$Avatar_BlackSwan_00_SkillMazeInLevel...1....Caster.$StageAbility_Maze_BlackSwan_Modifier...........$StageAbility_Maze_BlackSwan_Modifier........m....4............ModifierOwnerEntity..MazeSkill_Triggered.......@......Caster.....0.+Avatar_BlackSwan_00_SkillMazeInLevel_Insert.."
