game_version,component,path,size,sha256,role,confidence,notes
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",StarRail.exe,D:\StarRail_4.4.53\StarRail.exe,684848,59423E7EC140B390A3507C39EA30B89DF7E7583DAEA722C57AEB159C3B1ED575,executable,CONFIRMED,game launcher/main exe (Unity 2019.4.34)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",GameAssembly.dll,D:\StarRail_4.4.53\GameAssembly.dll,535482160,7B44379BF69352022CB3437B03431DDC558FFB34E3D98E7144200F37E8C837CC,il2cpp_binary,CONFIRMED,IL2CPP game code; sections .text/.il2cpp/.upx0; export il2cpp_get_api_table
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",UnityPlayer.dll,D:\StarRail_4.4.53\UnityPlayer.dll,38753584,D5EF103F9353BE0678EDA6565F68ED006B656D84EC64C07B355B8BDCC69165E2,unity_player,CONFIRMED,Unity engine player
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",UnityCrashHandler64.exe,D:\StarRail_4.4.53\UnityCrashHandler64.exe,933168,0F88FE39690A7F5D9015BD2CF4D730155240788F0240249509A3E989F0FA26DF,executable,CONFIRMED,unity crash handler
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",hkrpg.dll,D:\StarRail_4.4.53\hkrpg.dll,641024,042322FA0DDE78841F027FC45BF8DFE39079BC111FFAB55C189767C28C3BB2BE,native_plugin,CONFIRMED,miHoYo game runtime plugin
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",mhypbase.dll,D:\StarRail_4.4.53\mhypbase.dll,26751456,F8AD6B077FF4368CDB4F34114453C7B3DA92537EE27A0240A56111DAB0016DDE,native_plugin,CONFIRMED,miHoYo base/SDK plugin 1.0.1
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",HoYoKProtect.sys,D:\StarRail_4.4.53\HoYoKProtect.sys,4079296,3F2803FF2DD12D134FD3B4E37708C510A1FAC4B0503B091B73B80DDF7E857732,protection,CONFIRMED,kernel anti-cheat driver - DO NOT TOUCH
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",hsrlingo.exe,D:\StarRail_4.4.53\hsrlingo.exe,6160384,4205573E64E42BAC42045454C0A3C485F120F21FD973EC89FAE2E99AF0052802,executable,CONFIRMED,launcher-related binary
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",launcher.exe,D:\StarRail_4.4.53\launcher.exe,158720,9764C02DDFB30356FD0992C3E71698E7F0C24D4987D02481F8954F3D7975DDB3,executable,CONFIRMED,launcher
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",hdiff.exe,D:\StarRail_4.4.53\hdiff.exe,6289920,402E628330E9E897A7169C6EFAEFE313DBB08469A67E7BEE09C1A8EAF2FC6DD5,hotfix_tool,CONFIRMED,hpatch-based diff apply tool
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",global-metadata.dat,D:\StarRail_4.4.53\StarRail_Data\il2cpp_data\Metadata\global-metadata.dat,100182380,4BFDD6EAED092C1A70431CF32946903E41F716BEEB1322291FA1AB1C6DBB33A7,metadata,CONFIRMED,CUSTOM metadata header MHY\\x00 (not AF1BB1FA); encrypted/obfuscated
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",startup-metadata.dat,D:\StarRail_4.4.53\StarRail_Data\il2cpp_data\Metadata\startup-metadata.dat,3898140,D54908C9C8149BC8307AF2344F0DDEAA90C5312138247B5340D5BDB73FD3B5C0,metadata,CONFIRMED,"startup metadata, same custom format"
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",data.unity3d,D:\StarRail_4.4.53\StarRail_Data\data.unity3d,23195060,F4B024BECF3F7D58E0030CC1C342B45EDD4F611587646E04B1595BCEB43E0BA0,unity_asset,CONFIRMED,unity bundle
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",resources.resource,D:\StarRail_4.4.53\StarRail_Data\resources.resource,13152,EA88DA41A3AF397DB2D59A1031D325255C663F8682C194C42808C7FFCFFE6E50,unity_asset,CONFIRMED,unity resources
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",boot.config,D:\StarRail_4.4.53\StarRail_Data\boot.config,49,C92F81AE694CEB6D2F59AD7B35F14FB34F491AFBFD18ED40C5C8B34044B2808C,config,CONFIRMED,unity boot config
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",app.info,D:\StarRail_4.4.53\StarRail_Data\app.info,21,F56942921FC95FA5B0B490EE8BBA2EAD880BD09D0AECBDCF193D4E7A71C5D3C8,config,CONFIRMED,app identity (Cognosphere/Star Rail)
"4.4.54 (dir-labeled-4.4.53, BetaLive 20260731-0529)",BinaryVersion.bytes,D:\StarRail_4.4.53\StarRail_Data\StreamingAssets\BinaryVersion.bytes,245,EBEE1005EB0B18BF33DBBC3E6F05448649B86371D460BD523D9F1DF48CBF161A,version_marker,CONFIRMED,binary version bytes
