game_version,name,name_len,entry_offset_hex,marker,encoded,encoded_hex,encoded_size,tail_hex,decoded,decoded_hex,base_solved_hex,record_start_hex,name_delta,record_context_hex,record_context_ascii
4.4.54,Avatar_BlackSwan_00_Skill01_Phase01,35,0xAFE8AC,0x01,4,0x4,1,0x07,2,0x2,0xAF6D1C,0xAF6D1E,2,61 72 5F 42 61 69 6C 75 5F 53 6B 69 6C 6C 54 72 65 65 30 32 01 C2 6A 03 1E 13 23 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F 30 30 5F 53 6B 69 6C 6C 30 31 5F 50 68 61 73 65 30 31 01 10 14 EB 0C 44 04 00 00 00 3F C3 1B 32 0C 01 06 43 61 73 74 65 72 04 23 41,ar_Bailu_SkillTree02..j...#Avatar_BlackSwan_00_Skill01_Phase01.....D....?..2...Caster.#A
4.4.54,Avatar_BlackSwan_00_Skill01_Phase02,35,0xAFE8D3,0x01,1398,0x576,2,0x07,699,0x2BB,0xAF6D1C,0xAF6FD7,3,6B 69 6C 6C 30 31 5F 43 61 72 64 5F 53 74 61 72 74 2E 70 72 65 66 61 62 01 93 01 23 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F 30 30 5F 53 6B 69 6C 6C 30 31 5F 50 68 61 73 65 30 32 01 10 0C 8E 1D 0E 0C 01 06 43 61 73 74 65 72 07 53 6B 69 6C 6C 30 31 00 A8,kill01_Card_Start.prefab...#Avatar_BlackSwan_00_Skill01_Phase02.........Caster.Skill01..
4.4.54,Avatar_BlackSwan_00_Skill02_Phase01,35,0xAFE8FB,0x01,3358,0xD1E,2,0x07,1679,0x68F,0xAF6D1C,0xAF73AB,2,F7 A4 DF EB 05 0D 43 61 73 74 5F 42 79 5F 4C 65 76 65 6C 00 00 CD CC 4C 3E 13 23 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F 30 30 5F 53 6B 69 6C 6C 30 32 5F 50 68 61 73 65 30 31 01 10 1A C3 1B 32 0C 01 06 43 61 73 74 65 72 04 23 41 76 61 74 61 72 5F 42 6C,......Cast_By_Level....L>.#Avatar_BlackSwan_00_Skill02_Phase01.....2...Caster.#Avatar_Bl
4.4.54,Avatar_BlackSwan_00_Skill02_Phase02,35,0xAFE923,0x01,4420,0x1144,2,0x07,2210,0x8A2,0xAF6D1C,0xAF75BE,3,1D 0E 0C 01 06 43 61 73 74 65 72 07 53 6B 69 6C 6C 30 32 00 8C 81 AB 8E 32 93 03 23 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F 30 30 5F 53 6B 69 6C 6C 30 32 5F 50 68 61 73 65 30 32 01 10 14 8E 1D 0E 0C 01 06 43 61 73 74 65 72 07 53 6B 69 6C 6C 30 32 00 D8,.....Caster.Skill02.....2..#Avatar_BlackSwan_00_Skill02_Phase02.........Caster.Skill02..
4.4.54,Avatar_BlackSwan_00_Skill03_Cutin,33,0xAFE94B,0x01,8256,0x2040,2,0x07,4128,0x1020,0xAF6D1C,0xAF7D3C,2,65 72 45 6E 74 69 74 79 32 01 06 00 00 01 00 03 11 01 00 01 9C C8 C5 ED 0F 13 21 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F 30 30 5F 53 6B 69 6C 6C 30 33 5F 43 75 74 69 6E 01 0E 12 8F 1E 02 00 A0 B3 E6 CC 19 D9 02 02 0C 01 06 43 61 73 74 65 72 8F 1E 02 00,erEntity2.................!Avatar_BlackSwan_00_Skill03_Cutin..................Caster....
4.4.54,Avatar_BlackSwan_00_Skill03_Phase01,35,0xAFE971,0x01,8936,0x22E8,2,0x07,4468,0x1174,0xAF6D1C,0xAF7E90,2,00 C0 3F 02 0C 01 12 43 61 73 74 65 72 57 69 74 68 41 6C 6C 45 6E 65 6D 79 13 23 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F 30 30 5F 53 6B 69 6C 6C 30 33 5F 50 68 61 73 65 30 31 01 08 32 D9 02 02 0C 01 06 43 61 73 74 65 72 C2 14 BE 01 0C 01 18 41 6C 6C 45,..?....CasterWithAllEnemy.#Avatar_BlackSwan_00_Skill03_Phase01..2......Caster.......AllE
4.4.54,Avatar_BlackSwan_00_Skill03_Phase02,35,0xAFE999,0x01,10530,0x2922,2,0x07,5265,0x1491,0xAF6D1C,0xAF81AD,2,16 0C 01 0B 41 6C 6C 44 61 72 6B 54 65 61 6D 0C 01 06 43 61 73 74 65 72 01 13 23 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F 30 30 5F 53 6B 69 6C 6C 30 33 5F 50 68 61 73 65 30 32 01 08 14 8E 1D 0E 0C 01 06 43 61 73 74 65 72 07 53 6B 69 6C 6C 30 33 00 DC F0,....AllDarkTeam...Caster..#Avatar_BlackSwan_00_Skill03_Phase02.........Caster.Skill03...
4.4.54,Avatar_BlackSwan_00_PassiveSkill01,34,0xAFE9C1,0x01,11450,0x2CBA,2,0x07,5725,0x165D,0xAF6D1C,0xAF8379,3,40 05 48 69 74 5F 48 CD CC 4C 3F 00 00 70 C2 01 F5 08 00 A9 1C 00 C6 19 00 93 02 22 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F 30 30 5F 50 61 73 73 69 76 65 53 6B 69 6C 6C 30 31 01 02 08 31 0A 0C 01 06 43 61 73 74 65 72 04 1F 4D 5F 42 6C 61 63 6B 53 77 61,"@.Hit_H..L?..p.............""Avatar_BlackSwan_00_PassiveSkill01...1....Caster..M_BlackSwa"
4.4.54,Avatar_BlackSwan_00_SkillMazeInLevel,36,0xAFE9E8,0x01,16000,0x3E80,2,0x07,8000,0x1F40,0xAF6D1C,0xAF8C5C,3,02 C3 0D 22 0C 01 06 43 61 73 74 65 72 01 03 01 00 11 00 01 FB F9 C0 89 0A B3 02 24 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F 30 30 5F 53 6B 69 6C 6C 4D 61 7A 65 49 6E 4C 65 76 65 6C 01 02 02 31 0A 0C 01 06 43 61 73 74 65 72 04 24 53 74 61 67 65 41 62 69,"...""...Caster..............$Avatar_BlackSwan_00_SkillMazeInLevel...1....Caster.$StageAbi"
4.4.54,Avatar_BlackSwan_00_SkillMazeInLevel_Insert,43,0xAFEA11,0x01,16690,0x4132,3,0x07,8345,0x2099,0xAF6D1C,0xAF8DB5,3,6B 53 77 61 6E 5F 30 30 5F 4D 61 7A 65 5F 53 74 6F 70 41 64 64 44 6F 74 00 B3 02 2B 41 76 61 74 61 72 5F 42 6C 61 63 6B 53 77 61 6E 5F 30 30 5F 53 6B 69 6C 6C 4D 61 7A 65 49 6E 4C 65 76 65 6C 5F 49 6E 73 65 72 74 01 08 22 BE 15 1C 08 00 80 80 80 80 40 04 13 4D 61,"kSwan_00_Maze_StopAddDot...+Avatar_BlackSwan_00_SkillMazeInLevel_Insert.."".........@..Ma"
